id_transaksi,tanggal,cabang,kategori_produk,nama_produk,harga_satuan,jumlah_terjual,total_penjualan,metode_pembayaran,jenis_kelamin_pelanggan,usia_pelanggan,rating_kepuasan,status_promo,biaya_iklan_harian
TRX01409,2026-01-01,Surabaya,Laptop,Laptop A14,14493000,1,14493000,E-Wallet,L,57.0,,Reguler,584000
TRX00846,2026-01-01,Bandung,Smartphone,Smartphone MaxEdge,7967000,5,39835000,Kredit,L,21.0,,Reguler,1652000
TRX01550,2026-01-01,Jakarta,Aksesoris,Mouse Wireless,126000,4,504000,Tunai,P,33.0,5.0,Reguler,1092000
TRX01622,2026-01-01,Jakarta,Laptop,Laptop X1,13021000,3,39063000,Kredit,P,39.0,1.0,Reguler,727000
TRX01996,2026-01-01,Malang,Smartphone,Smartphone NovaLite,5472000,2,10944000,Kredit,P,41.0,4.0,Reguler,1630000
TRX00901,2026-01-01,Jakarta,Laptop,Laptop UltraSlim,9543000,2,19086000,E-Wallet,P,30.0,,Reguler,2103000
TRX01739,2026-01-01,Surabaya,Elektronik Rumah Tangga,TV LED 32in,4369000,2,8738000,Debit,P,,5.0,Reguler,637000
TRX00773,2026-01-01,Bandung,Smartphone,Smartphone Air,1974000,5,9870000,E-Wallet,P,26.0,,Reguler,1652000
TRX01913,2026-01-01,Jakarta,Elektronik Rumah Tangga,Rice Cooker,1714000,3,5142000,Debit,P,39.0,4.0,Reguler,2924000
TRX00845,2026-01-01,Jakarta,Smartphone,Smartphone Air,1632000,4,6528000,Debit,P,40.0,5.0,Reguler,1258000
TRX01949,2026-01-01,Bandung,Laptop,Laptop ProBook,9489000,3,28467000,E-Wallet,P,34.0,,Reguler,658000
TRX01237,2026-01-01,Bandung,Aksesoris,Mouse Wireless,329000,2,658000,Debit,P,41.0,4.0,Reguler,824000
TRX01482,2026-01-01,Jakarta,Elektronik Rumah Tangga,TV LED 32in,4858000,2,9716000,Debit,P,30.0,4.0,Reguler,2607000
TRX01488,2026-01-01,Malang,Aksesoris,Mouse Wireless,90000,2,180000,Debit,L,36.0,5.0,Reguler,2463000
TRX00381,2026-01-01,Surabaya,Aksesoris,Mouse Wireless,476000,5,2380000,Tunai,P,25.0,2.0,Reguler,2619000
TRX01294,2026-01-01,Malang,Laptop,Laptop A14,9312000,5,46560000,E-Wallet,L,26.0,,Reguler,2842000
TRX01279,2026-01-02,Malang,Smartphone,Smartphone MaxEdge,3298000,3,9894000,E-Wallet,L,31.0,5.0,Reguler,1109000
TRX01532,2026-01-02,Surabaya,Smartphone,Smartphone Air,2121000,5,10605000,Tunai,P,36.0,3.0,Reguler,1654000
TRX01175,2026-01-02,Bandung,Smartphone,Smartphone Z5,2690000,5,13450000,Debit,L,46.0,5.0,Reguler,228000
TRX01807,2026-01-02,Bandung,Laptop,Laptop A14,13401000,3,40203000,Kredit,P,,5.0,Reguler,1964000
TRX00303,2026-01-02,Bandung,Smartphone,Smartphone NovaLite,4620000,3,13860000,E-Wallet,L,31.0,5.0,Reguler,1608000
TRX00707,2026-01-02,Malang,Smartphone,Smartphone Z5,2087000,2,4174000,E-Wallet,L,36.0,4.0,Reguler,231000
TRX01190,2026-01-02,Malang,Smartphone,Smartphone NovaLite,5757000,3,17271000,Debit,L,32.0,4.0,Reguler,1418000
